point,lon,lat,count,address,district
0101000020E610000002BF48199F3F3E400A41C338F1F64D40,30.248521404514584,59.9292365029706,9,Канареечная улица,округ Гавань
0101000020E610000002BF48199F3F3E400A721DB144FC4D40,30.248521404514584,59.97084630906837,172,Крестовский проспект,округ Чкаловское
0101000020E610000002BF48199F3F3E400B9A5B3306034E40,30.248521404514584,60.0236267277979,58,проспект Королёва,округ Юнтолово
0101000020E610000002BF48199F3F3E400C44B6B2C5F34D40,30.248521404514584,59.904470767018296,71,набережная реки Екатерингофки,округ Морские ворота
0101000020E610000002BF48199F3F3E4010C569574E024E40,30.248521404514584,60.01801579155483,3026,Долгоозёрная улица,округ Юнтолово
0101000020E610000002BF48199F3F3E4014A96F5908F14D40,30.248521404514584,59.88306730224773,1,улица Газа,Нарвский округ
0101000020E610000002BF48199F3F3E4015DC4D3BBB014E40,30.248521404514584,60.013526356713705,304,Комендантский проспект,округ Озеро Долгое
0101000020E610000002BF48199F3F3E401FBF4913EFF54D40,30.248521404514584,59.92135850048929,4,Кожевенная линия,округ Гавань
0101000020E610000002BF48199F3F3E4021096A9925EE4D40,30.248521404514584,59.86052243878864,169,улица Маршала Казакова,округ Красненькая речка
0101000020E610000002BF48199F3F3E402265734F2C044E40,30.248521404514584,60.03260224470638,33,Парашютная улица,округ Коломяги
0101000020E610000002BF48199F3F3E4028BF212BB3FC4D40,30.248521404514584,59.97421778819836,150,Северная дорога,округ Чкаловское
0101000020E610000002BF48199F3F3E402A30A27964EA4D40,30.248521404514584,59.83119125766129,333,проспект Народного Ополчения,округ Ульянка
0101000020E610000002BF48199F3F3E402D3C4E79D0F84D40,30.248521404514584,59.94386211700508,551,Финляндская дорожка,Васильевский округ
0101000020E610000002BF48199F3F3E4031CCB7976EFF4D40,30.248521404514584,59.99556251978391,139,улица Оптиков,округ № 65
0101000020E610000002BF48199F3F3E403DF3BDF394004E40,30.248521404514584,60.004545657872285,445,Стародеревенская улица,округ № 65
0101000020E610000002BF48199F3F3E4041010E3DD6EB4D40,30.248521404514584,59.84247554000695,83,бульвар Новаторов,округ Дачное
0101000020E610000002BF48199F3F3E4042A0141A28014E40,30.248521404514584,60.00903631217126,95,проспект Авиаконструкторов,округ Озеро Долгое
0101000020E610000002BF48199F3F3E4049CA8BB52FF24D40,30.248521404514584,59.89208096814816,55,ЗСД,Нарвский округ
0101000020E610000002BF48199F3F3E404E7CCF93B6FE4D40,30.248521404514584,59.98994681960231,26,Мебельная улица,округ № 65
0101000020E610000002BF48199F3F3E404EFE0BA600EE4D40,30.248521404514584,59.85939479432693,9,проспект Стачек,округ Красненькая речка
0101000020E610000002BF48199F3F3E405009D46AD3EA4D40,30.248521404514584,59.8345769439062,28,улица Лёни Голикова,округ Дачное
0101000020E610000002BF48199F3F3E40586790FFD8EC4D40,30.248521404514584,59.85037226248704,368,Ленинский проспект,округ Дачное
0101000020E610000002BF48199F3F3E406A1274D638F64D40,30.248521404514584,59.92360954921317,11,Кожевенная линия,округ Гавань
0101000020E610000002BF48199F3F3E406BDE1BEB22ED4D40,30.248521404514584,59.852628124816725,52,Ленинский проспект,округ Дачное
0101000020E610000002BF48199F3F3E40717466E047ED4D40,30.248521404514584,59.85375599863699,27,проспект Стачек,округ Дачное
0101000020E610000002BF48199F3F3E4074DD5BB2DBED4D40,30.248521404514584,59.8582671116409,3180,проспект Стачек,округ Красненькая речка
0101000020E610000002BF48199F3F3E4076150862DBFE4D40,30.248521404514584,59.99107003588408,128,Мебельная улица,округ № 65
0101000020E610000002BF48199F3F3E407AB3D8B484F74D40,30.248521404514584,59.93373737889392,590,Средний проспект В.О.,округ Гавань
0101000020E610000002BF48199F3F3E40854A58CAE2034E40,30.248521404514584,60.03035859404648,2,проспект Королёва,округ Юнтолово
0101000020E610000002BF48199F3F3E40888919D708054E40,30.248521404514584,60.03933228251395,13,Парашютная улица,округ Коломяги
0101000020E610000002BF48199F3F3E40892F7FF5FDEC4D40,30.248521404514584,59.85150021276701,3572,Ленинский проспект,округ Дачное
0101000020E610000002BF48199F3F3E408991431816F74D40,30.248521404514584,59.930361779205725,631,Детская улица,округ Гавань
0101000020E610000002BF48199F3F3E408BE607F513F64D40,30.248521404514584,59.92248404393929,2735,Кожевенная линия,округ Гавань
0101000020E610000002BF48199F3F3E408EC13E307EF44D40,30.248521404514584,59.91010096611272,652,Двинская улица,округ Морские ворота
0101000020E610000002BF48199F3F3E408F0FCDBE88F94D40,30.248521404514584,59.94948563587889,266,проспект КИМа,округ Остров Декабристов
0101000020E610000002BF48199F3F3E408F79686EE1024E40,30.248521404514584,60.022504616749856,511,проспект Королёва,округ Юнтолово
0101000020E610000002BF48199F3F3E4091618BDE42FB4D40,30.248521404514584,59.96297818952292,12,Петровская коса,Петровский округ
0101000020E610000002BF48199F3F3E409EBE0E8D07044E40,30.248521404514584,60.03148043842269,2,Парашютная улица,округ Коломяги
0101000020E610000002BF48199F3F3E40A0E9FCF72A034E40,30.248521404514584,60.02474880074738,11,проспект Королёва,округ Юнтолово
0101000020E610000002BF48199F3F3E40A554BF083DF84D40,30.248521404514584,59.93936261503522,311,24-25-я линии В.О.,округ Гавань
0101000020E610000002BF48199F3F3E40AAF7F54399034E40,30.248521404514584,60.02811479101304,2506,проспект Королёва,округ Юнтолово
0101000020E610000002BF48199F3F3E40B1AE0E4BF7F94D40,30.248521404514584,59.95285928933061,75,переулок Декабристов,округ Остров Декабристов
0101000020E610000002BF48199F3F3E40C5684CBC4F034E40,30.248521404514584,60.025870835599136,28,улица Шаврова,округ Юнтолово
0101000020E610000002BF48199F3F3E40CC6871B467FB4D40,30.248521404514584,59.96410232102935,19,Петровская коса,Петровский округ
0101000020E610000002BF48199F3F3E40CDB8F95003014E40,30.248521404514584,60.00791370576335,722,Стародеревенская улица,округ Озеро Долгое
0101000020E610000002BF48199F3F3E40CDF98C87DE004E40,30.248521404514584,60.00679106124481,164,Стародеревенская улица,округ Озеро Долгое
0101000020E610000002BF48199F3F3E40D15705CA91ED4D40,30.248521404514584,59.85601163159266,19,проспект Стачек,округ Дачное
0101000020E610000002BF48199F3F3E40D4F7F058CCF64D40,30.248521404514584,59.92811118856449,10,Большой проспект В.О.,округ Гавань
0101000020E610000002BF48199F3F3E40D7AAC6CA49FF4D40,30.248521404514584,59.9944394559913,2,улица Оптиков,округ № 65
0101000020E610000002BF48199F3F3E40DB251193A9F74D40,30.248521404514584,59.93486250245378,2165,Средний проспект В.О.,округ Гавань
0101000020E610000002BF48199F3F3E40E4A1F770CEF74D40,30.248521404514584,59.935987587847,8,улица Беринга,округ Гавань
0101000020E610000002BF48199F3F3E40EA2DA41D73024E40,30.248521404514584,60.01913805500574,6,Комендантский проспект,округ Юнтолово
0101000020E610000002BF48199F3F3E40EC88DD9029024E40,30.248521404514584,60.01689349000102,241,Комендантский проспект,округ Юнтолово
0101000020E610000002BF48199F3F3E40EC8BB6949A044E40,30.248521404514584,60.035967435010974,50,Парашютная улица,округ Коломяги
0101000020E610000002BF48199F3F3E40EE8CA19326004E40,30.248521404514584,60.00117726696214,219,Богатырский проспект,округ № 65
0101000020E610000002BF48199F3F3E40F2755E8979F24D40,30.248521404514584,59.894334002612496,29,улица Калинина,Нарвский округ
0101000020E610000003D9A4B78A613E4006FC5DE561F84D40,30.38102290892221,59.94048754777036,11,Суворовский проспект,округ Смольнинское
0101000020E610000003D9A4B78A613E400779FFC904024E40,30.38102290892221,60.01577115034348,130,улица Обручевых,округ Академическое
0101000020E610000003D9A4B78A613E400A41C338F1F64D40,30.38102290892221,59.9292365029706,144,Херсонская улица,округ Смольнинское
0101000020E610000003D9A4B78A613E40135A4BF9BBEF4D40,30.38102290892221,59.87292400531091,34,улица Белы Куна,округ Волковское
